label,issued,status,term_iri,iri,replaces,rdf_type,definition
Accepted Name Usage,2009-09-21,recommended,http://rs.tdwg.org/dwc/terms/acceptedNameUsage,http://rs.tdwg.org/dwc/terms/version/acceptedNameUsage-2009-09-21,http://rs.tdwg.org/dwc/terms/version/acceptedScientificName-2009-07-06,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,"The full name, with authorship and date information if known, of the currently valid (zoological) or accepted (botanical) taxon."
Accepted Name Usage ID,2009-09-21,recommended,http://rs.tdwg.org/dwc/terms/acceptedNameUsageID,http://rs.tdwg.org/dwc/terms/version/acceptedNameUsageID-2009-09-21,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonID-2009-08-24,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,An identifier for the name usage (documented meaning of the name according to a source) of the currently valid (zoological) or accepted (botanical) taxon.
Accepted Scientific Name,2009-07-06,deprecated,http://rs.tdwg.org/dwc/terms/acceptedScientificName,http://rs.tdwg.org/dwc/terms/version/acceptedScientificName-2009-07-06,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonName-2009-04-24,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,The currently valid (zoological) or accepted (botanical) name for the scientificName.
Accepted Scientific Name ID,2009-07-06,deprecated,http://rs.tdwg.org/dwc/terms/acceptedScientificNameID,http://rs.tdwg.org/dwc/terms/version/acceptedScientificNameID-2009-07-06,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonNameID-2009-04-24,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,A unique identifier for the acceptedScientificName.
Accepted Taxon,2008-11-19,deprecated,http://rs.tdwg.org/dwc/terms/AcceptedTaxon,http://rs.tdwg.org/dwc/terms/version/AcceptedTaxon-2008-11-19,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,The currently valid (zoological) or accepted (botanical) name for the ScientificName.
Accepted Taxon ID,2009-01-21,deprecated,http://rs.tdwg.org/dwc/terms/AcceptedTaxonID,http://rs.tdwg.org/dwc/terms/version/AcceptedTaxonID-2009-01-21,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,A global unique identifier for the parent to the AcceptedTaxon.
Accepted Taxon ID,2009-08-24,deprecated,http://rs.tdwg.org/dwc/terms/acceptedTaxonID,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonID-2009-08-24,http://rs.tdwg.org/dwc/terms/version/acceptedScientificNameID-2009-07-06,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,An identifier for the name of the currently valid (zoological) or accepted (botanical) taxon. See acceptedTaxon.
Accepted Taxon Name,2009-04-24,deprecated,http://rs.tdwg.org/dwc/terms/acceptedTaxonName,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonName-2009-04-24,http://rs.tdwg.org/dwc/terms/version/AcceptedTaxon-2008-11-19,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,The currently valid (zoological) or accepted (botanical) name for the scientificName.
Accepted Taxon Name ID,2009-04-24,deprecated,http://rs.tdwg.org/dwc/terms/acceptedTaxonNameID,http://rs.tdwg.org/dwc/terms/version/acceptedTaxonNameID-2009-04-24,http://rs.tdwg.org/dwc/terms/version/AcceptedTaxonID-2009-01-21,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,A unique identifier for the acceptedTaxonName.
Access Constraints,2008-11-19,deprecated,http://rs.tdwg.org/dwc/terms/AccessConstraints,http://rs.tdwg.org/dwc/terms/version/AccessConstraints-2008-11-19,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,A description of constraints on the use of the data as shared or access to further data that is not shared.
Accuracy,2009-01-21,deprecated,http://rs.tdwg.org/dwc/terms/accuracy,http://rs.tdwg.org/dwc/terms/version/accuracy-2009-01-21,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Abstract term to capture error information about a measurement or fact.
Associated Media,2009-04-24,superseded,http://rs.tdwg.org/dwc/terms/associatedMedia,http://rs.tdwg.org/dwc/terms/version/associatedMedia-2009-04-24,http://rs.tdwg.org/dwc/dwcore/version/ImageURL-2007-04-17,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the Occurrence."
Associated Media,2014-10-23,recommended,http://rs.tdwg.org/dwc/terms/associatedMedia,http://rs.tdwg.org/dwc/terms/version/associatedMedia-2014-10-23,http://rs.tdwg.org/dwc/terms/version/associatedMedia-2009-04-24,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of media associated with the Occurrence."
Associated Occurrences,2009-04-24,superseded,http://rs.tdwg.org/dwc/terms/associatedOccurrences,http://rs.tdwg.org/dwc/terms/version/associatedOccurrences-2009-04-24,http://rs.tdwg.org/dwc/curatorial/version/RelatedCatalogedItems-2007-04-17,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,A list (concatenated and separated) of identifiers of other Occurrence records and their associations to this Occurrence.
Associated Occurrences,2014-10-23,recommended,http://rs.tdwg.org/dwc/terms/associatedOccurrences,http://rs.tdwg.org/dwc/terms/version/associatedOccurrences-2014-10-23,http://rs.tdwg.org/dwc/terms/version/associatedOccurrences-2009-04-24,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,A list (concatenated and separated) of identifiers of other Occurrence records and their associations to this Occurrence.
Associated Organisms,2014-10-23,recommended,http://rs.tdwg.org/dwc/terms/associatedOrganisms,http://rs.tdwg.org/dwc/terms/version/associatedOrganisms-2014-10-23,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,A list (concatenated and separated) of identifiers of other Organisms and their associations to this Organism.
Associated References,2009-04-24,superseded,http://rs.tdwg.org/dwc/terms/associatedReferences,http://rs.tdwg.org/dwc/terms/version/associatedReferences-2009-04-24,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the Occurrence."
Associated References,2014-10-23,recommended,http://rs.tdwg.org/dwc/terms/associatedReferences,http://rs.tdwg.org/dwc/terms/version/associatedReferences-2014-10-23,http://rs.tdwg.org/dwc/terms/version/associatedReferences-2009-04-24,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,"A list (concatenated and separated) of identifiers (publication, bibliographic reference, global unique identifier, URI) of literature associated with the Occurrence."
Associated Sequences,2009-04-24,superseded,http://rs.tdwg.org/dwc/terms/associatedSequences,http://rs.tdwg.org/dwc/terms/version/associatedSequences-2009-04-24,http://rs.tdwg.org/dwc/curatorial/version/GenBankNumber-2007-04-17,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of genetic sequence information associated with the Occurrence."
Associated Sequences,2014-10-23,recommended,http://rs.tdwg.org/dwc/terms/associatedSequences,http://rs.tdwg.org/dwc/terms/version/associatedSequences-2014-10-23,http://rs.tdwg.org/dwc/terms/version/associatedSequences-2009-04-24,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,"A list (concatenated and separated) of identifiers (publication, global unique identifier, URI) of genetic sequence information associated with the Occurrence."
Associated Taxa,2009-04-24,superseded,http://rs.tdwg.org/dwc/terms/associatedTaxa,http://rs.tdwg.org/dwc/terms/version/associatedTaxa-2009-04-24,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,A list (concatenated and separated) of identifiers or names of taxa and their associations with the Occurrence.
